URL,Restaurant Name,Overall Rating,Number of Reviews,Food Type
https://www.yelp.com/biz/keng-eng-kee-seafood-singapore?osq=Restaurants,Keng Eng Kee Seafood,3.9,29,Seafood
https://www.yelp.com/biz/eat-3-bowls-singapore?osq=Restaurants,Eat 3 Bowls,4.0,1,Taiwanese
https://www.yelp.com/biz/lao-you-xuan-noodle-kitchen-singapore?osq=Restaurants,Lao You Xuan Noodle Kitchen,5.0,1,"Singaporean, Noodles, Soup"
https://www.yelp.com/biz/yakinikutei-ao-chan-singapore?osq=Restaurants,Yakinikutei Ao-Chan,4.8,4,Japanese
https://www.yelp.com/biz/bak-chor-mee-lorong-5-toa-payoh-singapore?osq=Restaurants,Bak Chor Mee Lorong 5 Toa Payoh,5.0,1,Food Court
https://www.yelp.com/biz/knots-cafe-and-living-singapore?osq=Restaurants,Knots Cafe & Living,4.3,7,"Coffee & Tea, Breakfast & Brunch"
https://www.yelp.com/biz/song-fa-bak-kut-teh-singapore-11?osq=Restaurants,Song Fa Bak Kut Teh,4.2,150,"Singaporean, Chinese"
https://www.yelp.com/biz/hajah-maimunah-singapore-2?osq=Restaurants,Hajah Maimunah,5.0,1,Halal
https://www.yelp.com/biz/chef-kangs-noodle-house-singapore?osq=Restaurants,Chef Kang's Noodle House,5.0,3,Noodles
https://www.yelp.com/biz/cut-singapore-2?osq=Restaurants,CUT,4.4,62,"American, Steakhouses"
https://www.yelp.com/biz/salt-grill-and-sky-bar-singapore?osq=Restaurants,Salt Grill & Sky Bar,4.0,48,"Modern European, Australian"
https://www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,Sin Heng Kee Porridge,4.9,14,"Singaporean, Congee"
https://www.yelp.com/biz/justin-flavours-of-asia-singapore?osq=Restaurants,JustIN Flavours of Asia,4.3,6,Singaporean
https://www.yelp.com/biz/brazil-churrasco-singapore-2?osq=Restaurants,Brazil Churrasco,4.4,19,Brazilian
https://www.yelp.com/biz/satay-by-the-bay-singapore?osq=Restaurants,Satay By The Bay,3.7,52,"Seafood, Barbeque"
https://www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,Goldhill Hakka Restaurant,4.8,5,"Hakka, Seafood"
https://www.yelp.com/biz/nude-seafood-singapore-2?osq=Restaurants,NUDE Seafood,4.3,4,Seafood
https://www.yelp.com/biz/ah-tai-hainanese-chicken-rice-singapore?osq=Restaurants,Ah Tai Hainanese Chicken Rice,4.5,68,"Chicken Shop, Hainan"
https://www.yelp.com/biz/marukyu-singapore?osq=Restaurants,Marukyu,5.0,1,Japanese
https://www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,Din Tai Fung,4.3,151,"Taiwanese, Dim Sum, Dumplings"
https://www.yelp.com/biz/food-republic-singapore-23?osq=Restaurants,Food Republic,4.0,1,Food Court
https://www.yelp.com/biz/il-fiore-singapore?osq=Restaurants,Il Fiore,4.0,2,Italian
https://www.yelp.com/biz/happy-tummy-singapore-2?osq=Restaurants,Happy Tummy,4.8,4,"Desserts, Salad, Cafes"
https://www.yelp.com/biz/zam-zam-restaurant-singapore?osq=Restaurants,Zam Zam Restaurant,4.0,99,"Indian, Halal"
https://www.yelp.com/biz/shabestan-singapore?osq=Restaurants,Shabestan,4.3,28,Persian/Iranian
https://www.yelp.com/biz/redpan-singapore?osq=Restaurants,Redpan,4.0,4,Singaporean
https://www.yelp.com/biz/violet-oon-satay-and-grill-singapore?osq=Restaurants,Violet Oon Satay & Grill,4.0,10,"Seafood, Singaporean"
https://www.yelp.com/biz/red-house-singapore?osq=Restaurants,Red House,3.9,30,Seafood
https://www.yelp.com/biz/grain-traders-singapore?osq=Restaurants,Grain Traders,4.1,12,Cafes
https://www.yelp.com/biz/beef-yakiniku-dining-yakiniquest-singapore?osq=Restaurants,Beef Yakiniku Dining Yakiniquest,4.5,2,"Barbeque, Yakiniku"
https://www.yelp.com/biz/public-house-singapore?osq=Restaurants,Public House,4.5,2,"Bars, Singaporean"
https://www.yelp.com/biz/aromas-of-india-singapore?osq=Restaurants,Aromas Of India,4.8,16,Indian
https://www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,Tim Ho Wan,4.3,36,"Dim Sum, Cantonese"
https://www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,,,,Modern European
https://www.yelp.com/biz/chimichanga-singapore?osq=Restaurants,Chimichanga,4.5,2,Mexican
https://www.yelp.com/biz/momiji-japanese-buffet-restaurant-singapore?osq=Restaurants,Momiji Japanese Buffet Restaurant,4.0,1,"Japanese, Buffets"
https://www.yelp.com/biz/muddy-murphys-singapore?osq=Restaurants,Muddy Murphy's,3.9,21,"Pubs, Irish"
https://www.yelp.com/biz/hong-kong-style-chee-cheong-fun-singapore-3?osq=Restaurants,Hong Kong Style Chee Cheong Fun,4.6,15,Chinese
https://www.yelp.com/biz/yan-kee-noodle-house-singapore?osq=Restaurants,Yan kee Noodle House,4.5,2,Noodles
https://www.yelp.com/biz/kusina-de-pinoy-singapore?osq=Restaurants,Kusina De Pinoy,4.3,3,Filipino
https://www.yelp.com/biz/curate-southern-islands?osq=Restaurants,Curate,5.0,2,Pop-Up Restaurants
https://www.yelp.com/biz/wee-nam-kee-hainanese-chicken-rice-singapore-2?osq=Restaurants,Wee Nam Kee Hainanese Chicken Rice,3.7,15,"Chicken Shop, Hainan"
https://www.yelp.com/biz/vespetta-italian-gastro-bar-singapore?osq=Restaurants,Vespetta Italian Gastro Bar,5.0,2,"Italian, Bars"
https://www.yelp.com/biz/lim-joo-hin-eating-house-singapore?osq=Restaurants,,4.0,4,Singaporean
https://www.yelp.com/biz/zhong-guo-la-mian-xiao-long-bao-singapore?osq=Restaurants,Zhong Guo La Mian Xiao Long Bao,4.5,37,"Shanghainese, Dim Sum, Noodles"
https://www.yelp.com/biz/delicious-boneless-chicken-rice-singapore-3?osq=Restaurants,Delicious Boneless Chicken Rice,4.5,21,"Chicken Shop, Hainan"
https://www.yelp.com/biz/wolf-burgers-singapore?osq=Restaurants,Wolf Burgers,4.3,15,Burgers
https://www.yelp.com/biz/padi-singapore?osq=Restaurants,Padi,5.0,4,Singaporean
